Unique_Question_ID,Category,Question,Answer,Difficulty level,MaxMarks,Answer_2,Answer_3
209,Statistics,What is Uniform Distribution?,Probability distribution in which all outcomes are equally likely,2,10,It defines equal probability over a given range for a continuous distribution,Continuous uniform or rectangular distribution that is bounded by the minimum and maximum values.
210,Statistics,What is Binomial Distribution?,It has 2 possible outcomes,3,15,"Allows us to compute the probability of observing a specified number of ""successes"" when the process is repeated a specific number of times",It gives the probability of getting r events out of n trials
211,Statistics,What is Kurtosis?,It describes the peakiness of the probability distribution function,2,10,Measure of whether the data are heavy-tailed or light-tailed relative to a normal distribution,Kurtosis measures extreme values in either tail of the distribution
212,Statistics,Define Bayes Theorem?,"Likelihood of an outcome occurring, based on a previous outcome",3,15,Formula for determining conditional probability,It gives the pobability of occurrence of an event given that another event has already occurred
213,Statistics,Are gaussian and normal distribution same? Yes or no?,Yes,2,10,,
214,Statistics,What is range of correlation coefficient ?,(-1 to 1),1,5,From minus 1 to plus 1,Ranges from -1 to 1
215,Statistics,What is a histogram?,Approximate representation of the distribution of numerical data,2,10,It is used to graphically summarize the distribution of a univariate data set.,Diagram consisting of rectangles whose area is proportional to the frequency of a variable and whose width is equal to the class interval
216,Statistics,What is the range of R square value?,Generally it is 0 to 1 but it can be negative too sometimes,1,5,0 to 100 percent,Ranges from 0 - 1
217,Statistics,Define Type 1 error?,When a null hypothesis is rejected even though it is correct,3,15,"In statistical hypothesis testing, it is the mistaken rejection of the null hypothesis",Rejecting a true null hypothesis
218,Statistics,Define Type 2 error?,When we fail to reject a null hypothesis that is actually false,3,15,"In statistical hypothesis testing, it is mistaken acceptance of the null hypothesis",Accepting a false null hypothesis
219,Statistics,Explain quartiles?,Type of percentile which divides the number of data points into four parts or quarters on the basis of their values,2,10,"Divides the entire set into four equal parts so, there are three quartiles, first, second and third represented by Q1, Q2 and Q3, respectively","Divides data into three points—a lower quartile, median, and upper quartile—to form four groups of the dataset"
220,Statistics,what is OLS?,Type of linear least squares method for estimating the unknown parameters in a linear regression model,1,5,Ordinary Least squares,Method to predict values of a continuous response variable using one or more explanatory variables and can also identify the strength of the relationships between these variables
221,Statistics,What is chi square test used?,Statistical test used to compare observed results with expected results,3,15,Statistical procedures to examine the differences between categorical variables in the same population,"The purpose of this test is to determine if a difference between observed data and expected data is due to chance, or if it is due to a relationship between the variables"
222,Statistics,Is OLS an iterative process? Yes or No?,No,1,5,,
223,Statistics,What is alpha in hypothesis testing?,It is the significance level which is the probability of rejecting the null hypothesis when it is true,2,10,It is probability of Type I error in any hypothesis test,1-Confidence level
224,Statistics,What is beta in hypothesis testing?,The probability of making a type II error,2,10,It is probability of failing to reject the null hypothesis when it is actually false,1-power
225,Statistics,What is P value?,It helps to determine the significance of the results in relation to the null hypothesis.,3,15,A smaller value means that there is stronger evidence in favor of the alternative hypothesis,"The lower the value, the greater the statistical significance of the observed difference."
226,Statistics,What is heteroskedasticity?,Situations where the variance of the residuals is unequal over a range of measured values,3,15,"It happens when the standard deviations of a predicted variable, monitored over different values of an independent variable are non-constant","When running a regression analysis, it results in an unequal scatter of the residuals (also known as the error term)"
227,Statistics,What happens to the distribution if the sample size inceases?,"As sample sizes increase, the sampling distributions approach a normal distribution",3,15,"With ""infinite"" numbers of successive random samples, the mean of the sampling distribution is equal to the population mean (µ).","As the sample sizes increase, the variability of each sampling distribution decreases."
228,Statistics,What is VIF?,Variance inflation factor,2,10,It is the ratio of the variance of estimating some parameter in a model that includes multiple other terms by the variance of a model constructed using only one term,It quantifies the severity of multicollinearity in an ordinary least squares regression analysis
229,Statistics,Define mean?,average of all observations,1,5,sum of all observations divided by total number of observations,sum of all data/ total number of data points
230,Statistics,Define median?,the middle observation,1,5,Value or quantity lying at the midpoint of a frequency distribution of observed values or quantities,The number that is half way between the data
231,Statistics,Define mode?,The value that appears most often in a set of data values.,1,5,The value that appears most frequently in a data set,The highest number of times a datapoint has occurred in the data
232,Statistics,When should median be considered over mean?,When data is skewed,2,10,If the data contains outliers,When exact mid value of the data is of more relvance
233,Statistics,Define standard deviation?,A quantity expressing by how much the samples in a distribution differ from the mean value for the group,1,5,In statistics it is a measure of the amount of variation or dispersion of a set of values from its mean,It shows how much farther away data points are from the mean
234,Statistics,Define IQR?,Inter quartile range,1,5,It is equal to (Q3 - Q1),It describes the middle 50% of values when ordered from lowest to highest
235,Statistics,What is the null hypothesis of linear regression?,All the beta values are equal to 0,3,15,Predictors have no effect on response variable,Independent and dependent variables have no relation with each other
236,Statistics,Can there be a model without independent variables in regression? Yes or No?,No,1,5,,
237,Statistics,What are the coefficients in regression?,They estimates of the unknown population parameters and describe the relationship between a predictor variable and the response,3,15,They are the beta values for each independent variables,They represent the significance of independent variables
238,Statistics,What is multicollinearity?,It is a phenomenon in which one predictor variable in a multiple regression model can be linearly predicted from the others with a substantial degree of accuracy,2,10,It is the occurrence of high inter correlations among two or more independent variables,It is a problem because it undermines the statistical significance of an independent variable
239,Statistics,How to detect multicollinearity?,"Variance Inflation Factor(VIF) for each independent variable, heatmap plot (correlation plot)",3,15,,
240,Statistics,How to reduce the impact of multicollinearity between features?,Compute VIF and remove the feature having higher VIF between each pair of correlated features,3,15,Linearly combine the independent variables like adding them together.,Perform an analysis designed for highly correlated variables such as principal components analysis or partial least squares regression.
241,Statistics,What will happen if we don't remove the effect of multicollinearity in a dataset?,It reduces the precision of the estimated coefficients which weakens the statistical power of the regression model,3,15,Untrustoworthy p-values are resulted,"It does not impact prediction, but can impact inference of the predictor variables"
242,Statistics,Expand the acronym AIC.,Akaike information criterion,2,10,Lower values indicate a better-fit model,It can be termed as a measure of the goodness of fit of any estimated statistical model
243,Statistics,Expand the acronym BIC.,Bayesian information criterion,2,10,It is a method for scoring and selecting a model.,Lower values indicate a better-fit model
244,Statistics,How will handle multicollinearity without dropping any of the features?,Linearly combine the independent variables like adding them together.,3,15,Perform an analysis designed for highly correlated variables such as principal components analysis or partial least squares regression.,Combine the variables or reduce their number by doing principal Component analysis
245,Statistics,How to convert positive skewed data to normal?,"Log transform, square root transform, reciprocal trasnform",2,10,,
246,Statistics,Importance of Hypothesis Testing?,It is the process used to evaluate the strength of evidence from the sample and provides a framework for making determinations related to the population,3,15,It is how you decide if something really happened,A formalized theory will force us to think about what results we should look for in an experiment.
247,Statistics,What is the importance of confidence Interval?,"It represent the range of scores that are likely if we were to repeat the survey, they are important to consider when generalizing results.",3,15,"It provides information about a range in which the true value lies with a certain degree of probability, as well as about the direction and strength of it",It also tells you about how stable the estimate is. A stable estimate is one that would be close to the same value if the survey were repeated.
248,Statistics,Explain selection bias?,"It is introduced due to selection of individuals, groups, or data in such a way that proper randomization is not achieved",1,5,"Selecting individuals, groups or data for analysis that is not representative of the population.",When data points are not selected randomly from population and so the sample is not proper
249,Statistics,What is an observation called an outlier?,It is called an outlier when the observation differs significantly from other observations,1,5,It will make the data skewed,Extreme data points
250,Statistics,How to screen outliers?,"Z-score/standard deviations, Interquartile Range (IQR), boxplots, DBScan clustering",2,10,,
251,Statistics,What is an inlier?,An inlier is a data observation that lies within the rest of the dataset and is unusual or an error,1,5,A data value that lies in the interior of a statistical distribution and is in error,Inliers are unusual observations that lie within the data set
252,Statistics,How to handle inliers?,Simply remove them from the dataset to address them.,2,10,Delete them,Don't include them in data
253,Statistics,What is KPI?,"It stands for Key Performance Indicator, which is a measurable metric used to determine how well a company is achieving its business objectives",1,5,A performance indicator or key performance indicator which is a type of performance measurement,A quantifiable measure of performance over time for a specific objective
254,Statistics,What is Pareto principle?,"It states that for many outcomes, roughly 80% of consequences come from 20% of causes",3,15,Also called as 80/20 principle which states that 80% of results are produced by 20% of inputs,"In business, a goal of the rule is to identify inputs that are potentially the most productive and make them the priority"
255,Statistics,what is causation?,It indicates a relationship between two events where one event is affected by the other,2,10,"When the value of one event, or variable, increases or decreases as a result of other variable",Means that one event causes another event to occur.
256,Statistics,What is quantitative data ?,"It expresses a certain quantity, amount or range",1,5,It is numerical in nature,It can be defined as a group of quantifiable information that can be used for mathematical computations and statistical analysis
257,Statistics,What is qualitative data ?,"It is the descriptive and conceptual findings collected through questionnaires, interviews, or observation",1,5,It describes qualities or characteristics,It can be observed but not measured as it is not numerical in nature
258,Statistics,What is the benefit of using box plot?,It displays the range and distribution of data and gives five point summary,2,10,It provides indication of the data’s symmetry and skewness.,It gives information about outliers
259,Statistics,"The standard normal curve has a total area to be under one, and it is symmetric around zero. True or False?",TRUE,1,5,,
260,Statistics,Does a symmetric distribution need to be unimodal? Yes or No?,No,1,5,,
261,Statistics,What is Bessel's correction?,"It is the use of n − 1 instead of n in the formula for the sample variance and sample standard deviation, where n is the number of observations in a sample",3,15,This method corrects the bias in the estimation of the population variance,It refers to the n-1 part used as the denominator in the formula of sample variance or sample distribution
262,Statistics,Is the impact of outliers in statistics positive or negative?,Negative,1,5,,
